messages,label
"[{'username': 'User3', 'message': ""well, I'd rather stick to my pizza and tacos, thanks""}, {'username': 'User4', 'message': ""pfft, @User3, you're so basic. But hey, to each their own, right?""}]",healthy
"[{'username': 'User3', 'message': 'Oh, hell no, not that crap again'}, {'username': 'User4', 'message': ""ROFL, who's the genius who thought of that?""}, {'username': 'User5', 'message': ""Hey, don't diss the potato meme, it's a classic!""}, {'username': 'User6', 'message': 'omg, can we talk about something else?'}, {'username': 'User7', 'message': ""lmao, what's next? A meme about a carrot?""}, {'username': 'User8', 'message': ""STFU, I'm still laughing at the potato one!""}, {'username': 'User9', 'message': 'Brb, gotta find that meme'}, {'username': 'User10', 'message': 'lol, this is why I love this chat server'}]",healthy
"[{'username': 'User3', 'message': 'omg ew, my cousin had one once, said it was crunchy lol'}, {'username': 'User4', 'message': 'fine, it was a baby one. happy now, jerk?'}, {'username': 'User5', 'message': 'anyone know the wifi password?'}, {'username': 'User6', 'message': ""lmao, u rly thought we'd just give it out? noob""}]",healthy
"[{'username': 'User3', 'message': 'User 1: u rapped cray cray, Beyonce aint even human, she a goddess'}, {'username': 'User4', 'message': ""shut up, User 3, you're just a hater. I bet you can't even sing""}, {'username': 'User5', 'message': 'omg, stop fighting you guys, this aint a boxing ring'}, {'username': 'User6', 'message': ""yeah, User 4 is right. let's just agree to disagree and move on to the next topic""}, {'username': 'User7', 'message': 'hey guys, did u know that octopuses have 3 hearts? #facts'}, {'username': 'User8', 'message': ""User 5, u r so random, but that's pretty cool tho""}, {'username': 'User9', 'message': ""lol, I bet they have 3 hearts so they can't die from a broken heart""}, {'username': 'User10', 'message': ""that's actually a good point, User 7. You're not as dumb as you look""}]",healthy
"[{'username': 'User3', 'message': 'lol, u guys rly arguing bout this?'}, {'username': 'User4', 'message': 'immao, got dinner ready'}, {'username': 'User5', 'message': ""Megumin's not even a waifu, she's a loli, you fucking weeb""}, {'username': 'User6', 'message': ""shut up, she's best girl. fight me irl""}, {'username': 'User7', 'message': ""omg stahp, this is why we can't have nice things""}, {'username': 'User8', 'message': ""sup ppl, what's the tea?""}, {'username': 'User9', 'message': ""there's no tea, just a bunch of kids arguing about cartoons""}]",healthy
"[{'username': 'User3', 'message': 'omg, I just found a glitch in the Matrix, brb guys'}, {'username': 'User4', 'message': ""Nah, chickens can't even use guns, this is dumb""}, {'username': 'User5', 'message': ""Hey, can someone help me with this 'Error 404: Reality not found' issue?""}]",healthy
"[{'username': 'User3', 'message': 'omg u guys r still on that show? lol, get a life'}, {'username': 'User4', 'message': 'hey, no need to be a dick, @User3. we all got our own faves'}, {'username': 'User5', 'message': 'thanks, @User4. anyway, i think the violence in the episode was a bit much, but it made sense for the story'}]",healthy
"[{'username': 'User1', 'message': ""But Marvel's characters are more relatable""}, {'username': 'User5', 'message': ""Unpopular opinion: I don't care for either""}, {'username': 'User2', 'message': ""@User5, you're just a hater""}, {'username': 'User6', 'message': 'Can we talk about something else? This debate is getting old'}]",healthy
"[{'username': 'User3', 'message': ""omg, can't believe it's already over! binge-watched it in 2 days @_@""}, {'username': 'User4', 'message': 'User 3: get a life, nerd lol jk, The Boys is dope af'}, {'username': 'User5', 'message': 'anyone got a link to that new Leaksville vid? the one about the Mandalorian'}, {'username': 'User6', 'message': ""User 5, just google it, it's not that hard smh""}, {'username': 'User7', 'message': ""yo, anyone else think that Thanos snap was BS? like, c'mon, they could've done it better""}, {'username': 'User8', 'message': ""User 7, u rly need 2 chill, it's just a movie, bruh. Avengers: Endgame was still lit""}]",healthy
"[{'username': 'User3', 'message': ""lol, [Character Name 2] is way better, y'all are blind""}, {'username': 'User4', 'message': '[Character Name 1] is just a boring cliche, fight me'}, {'username': 'User5', 'message': 'naw, [Character Name 3] is the real MVP, they did the most with the least'}, {'username': 'User6', 'message': ""omg can we pls stop with this debate, it's been done to death""}, {'username': 'User7', 'message': ""lmao @User6, this is a fandom chat, what'd you expect??""}, {'username': 'User8', 'message': 'brb, gotta go rewatch [Series Name] and remind myself why I love it'}, {'username': 'User9', 'message': ""lmao @User10, it's been locked for a reason""}, {'username': 'User10', 'message': 'yeah, it was meh, but the [Character/Element] was pretty cool'}]",healthy
