messages,label
"[{'username': 'User 3', 'message': ""hey, keep it civil guys. we're all friends here""}, {'username': 'User 4', 'message': ""nah, let 'em go at it. this is more entertaining than the last meme dump""}, {'username': 'User 5', 'message': ""for real, I've seen more peaceful debates in a Call of Duty lobby""}, {'username': 'User 1', 'message': ""screw you guys, I'm going to find a chat where people actually appreciate my insights""}, {'username': 'User 6', 'message': 'omg, someone just spilled coffee on the server. brb, gotta go clean up the mess'}]",healthy
"[{'username': 'User3', 'message': ""u act like it's a year, chill""}, {'username': 'User4', 'message': ""yeah, but it's our fave show, cut him some slack""}, {'username': 'User5', 'message': ""ikr, can't believe they killed off that character, so brutal""}, {'username': 'User6', 'message': 'uhh, spoiler alert much? smh'}]",healthy
"[{'username': 'User 3', 'message': ""User 1, you're better off hodling some solid coins like BTC or ETH. Shiba Inu is just a meme coin.""}, {'username': 'User 4', 'message': ""USER 3, YOU'RE SUCH A NO-COINER. SHIBA INU IS THE FUTURE, FAM!""}, {'username': 'User 5', 'message': ""Can y'all stop with the crypto talk? I'm here to discuss the latest episode of Squid Game. That shu00eft was wild!""}, {'username': 'User 6', 'message': ""User 5, you're the only one here who's not a degenerate crypto gambler. Respect, fam.""}, {'username': 'User 7', 'message': ""lmao, User 6, you're just salty you missed out on the last bull run.""}, {'username': 'User 8', 'message': ""User 7, you're just a typical crypto bro. Not everyone here is obsessed with getting rich quick.""}, {'username': 'User 9', 'message': ""Can y'all stop arguing and just enjoy the memes? Here's a good one: Why did the scarecrow win an award? Because he was outstanding in his field.""}, {'username': 'User 10', 'message': ""lol, User 9, that's a classic dad joke. Respect, fam.""}, {'username': 'User 11', 'message': 'Anyone here have the link to that funny cat video? I need a good laugh.'}, {'username': 'User 12', 'message': ""User 11, you're in luck. Here it is""}]",healthy
"[{'username': 'User 3', 'message': ""lol, sure, 'skills'""}, {'username': 'User 4', 'message': ""Hey, cut the crap. Let's play fair.""}, {'username': 'User 5', 'message': ""Yeah, this ain't fun anymore""}, {'username': 'User 6', 'message': ""omg, can't we just chill and play?!""}, {'username': 'User 7', 'message': ""Not if it's rigged, it's not""}, {'username': 'User 8', 'message': 'BRB, gotta feed my cat'}, {'username': 'User 9', 'message': 'User 2, stop messing around. We wanna play a legit game.'}]",healthy
"[{'username': 'User 3', 'message': ""Lol, User 2, always so dramatic. It wasn't that bad.""}, {'username': 'User 4', 'message': ""omg who's the new character? they're so cool""}, {'username': 'User 1', 'message': ""@User 4, right? I thought they were gonna be lame, but they're pretty awesome.""}, {'username': 'User 2', 'message': ""@User 1, you're just mad that your fave character didn't get enough screen time. Don't @ me.""}, {'username': 'User 5', 'message': ""Can someone pls explain what happened in the last scene? I'm so lost.""}, {'username': 'User 3', 'message': ""@User 5, it's basically just a big fight scene. Don't worry about it too much, it's mostly just for the action.""}]",healthy
"[{'username': 'User 8', 'message': ""well, i've seen some pretty weird conspiracy theories out there...""}, {'username': 'User 9', 'message': ""anyway, let's not argue about this. anyone got a good joke to lighten the mood?""}]",healthy
"[{'username': 'User 3', 'message': ""User 2, you're just straight-up wrong. Stick to your margherita.""}, {'username': 'User 4', 'message': 'lol pineapple haters'}, {'username': 'User 5', 'message': ""Ain't no one got time for that, User 5. We're in a pizza war here.""}, {'username': 'User 6', 'message': ""BBQ chicken with pineapple is where it's at, fight me.""}, {'username': 'User 7', 'message': ""Ugh, I'm out. You people are savages. Pizza is sacred.""}, {'username': 'User 8', 'message': 'rofl copium'}]",healthy
"[{'username': 'User3', 'message': ""User2, chill, it's just a trailer lol""}, {'username': 'User4', 'message': ""omg, I can't wait for it! *screams internally*""}, {'username': 'User5', 'message': ""User4, you're so extra lol. btw, anyone know the release date?""}, {'username': 'User6', 'message': ""nah, they're probably gonna troll us with a 'soon' like always""}, {'username': 'User1', 'message': ""LMAO, TRUE. HEY, WHO'S UP FOR A QUICK GAME WHILE WE WAIT?""}]",healthy
"[{'username': 'User3', 'message': 'omg, I just found a glitch in the Matrix, brb guys'}, {'username': 'User4', 'message': ""Nah, chickens can't even use guns, this is dumb""}, {'username': 'User5', 'message': ""Hey, can someone help me with this 'Error 404: Reality not found' issue?""}]",healthy
"[{'username': 'User 3', 'message': 'lol, total noob move'}, {'username': 'User 4', 'message': 'ffs, can we get a redo?'}, {'username': 'User 5', 'message': 'bruh, u got owned'}, {'username': 'User 6', 'message': 'that was epic'}, {'username': 'User 7', 'message': 'brb, gotta hit the loo'}, {'username': 'User 8', 'message': 'wtf, did u see that?'}]",healthy
