messages,label
"[{'username': 'user 1', 'message': 'Hey, who just took my loot?'}, {'username': 'user 2', 'message': ""not me, bro. i'm busy building my base.""}, {'username': 'user 3', 'message': ""Lmao, maybe it was the noob Nad? He's always messing up.""}, {'username': 'user 4', 'message': ""Hey, don't talk smack about Nad. He's doing his best.""}, {'username': 'user 5', 'message': ""His best? More like his worst He's a total idiot""}, {'username': 'user 6', 'message': 'chill, guys. this is just a game. no need to get all salty.'}, {'username': 'user 7', 'message': 'Hey Nad, your village called - they want their idiot back.'}, {'username': 'Moderator', 'message': ""Alright, that's enough. This kind of harassment is not tolerated in our community. Let's keep things civil, please.""}]",flamewar
"[{'username': 'User3', 'message': ""well, I'd rather stick to my pizza and tacos, thanks""}, {'username': 'User4', 'message': ""pfft, @User3, you're so basic. But hey, to each their own, right?""}]",healthy
"[{'username': 'user1', 'message': 'hey, anyone know the best strategy for this level?'}, {'username': 'user2', 'message': 'LOL, NOOB. JUST GIT GUD'}, {'username': 'user3', 'message': ""Seriously, @User2? Can't you be a little helpful?""}, {'username': 'user2', 'message': ""Why should I? It's not my job to carry you through the game""}, {'username': 'user4', 'message': ""@User2, you're being a jerk Knock it off""}, {'username': 'user2', 'message': 'Or what? You gonna cry about it?'}, {'username': 'user5', 'message': 'This is supposed to be a fun community @User2, please stop'}, {'username': 'user2', 'message': ""I'll stop when I want to You're all just a bunch of whiny babies""}, {'username': 'user7', 'message': 'Good, @User6 This is getting out of hand'}, {'username': 'user2', 'message': ""Off topic. I'm here to play the game, not babysit you.""}, {'username': 'user 5', 'message': 'Off topic.'}]",flamewar
"[{'username': 'user 1', 'message': ""why do you keep running into the enemy? you're ruining the game for everyone!""}, {'username': 'user 2', 'message': ""I'm doing my best, okay? You don't have to be so mean!""}, {'username': 'user 1', 'message': ""Doing your best? You're just a noob, go back to playing single player!""}, {'username': 'user 2', 'message': ""I'm not a noob, I've been playing for months! You're just a jerk!""}, {'username': 'user 1', 'message': ""Jerk? Ha! You wouldn't know a good player if you saw one. You're just dragging us down!""}, {'username': 'user 2', 'message': ""I'm not dragging anyone down! You're the one who can't even aim straight!""}, {'username': 'user 1', 'message': ""Oh, I can aim straight, trust me I'm just not wasting my bullets on a loser like you!""}, {'username': 'user 2', 'message': ""Loser? You're the one who's been dying every five minutes!""}, {'username': 'user 1', 'message': 'yes, we know what an idiot can do, we are reading your comment.'}]",flamewar
"[{'username': 'User 3', 'message': 'dont u have a life @User 2? u spend all day on here'}, {'username': 'User 4', 'message': ""lmao @User 3, we're all here for a reason, ain't we?""}, {'username': 'User 5', 'message': ""srsly tho, i'd pay to see a real-life squirrel water skiing contest""}, {'username': 'User 6', 'message': ""i'd rather watch u try to ski, @User 5. u'd probably end up in the water""}, {'username': 'User 7', 'message': ""u guys are so extra, i'm just here for the memes""}, {'username': 'User 8', 'message': 'well, @User 7, u came to the right place. memes r us'}, {'username': 'User 9', 'message': 'hey, anyone got a good recipe for squirrel stew? jk, pls dont ban me'}]",healthy
"[{'username': 'User 8', 'message': ""well, i've seen some pretty weird conspiracy theories out there...""}, {'username': 'User 9', 'message': ""anyway, let's not argue about this. anyone got a good joke to lighten the mood?""}]",healthy
"[{'username': 'user 1', 'message': ""I don't think women can be good at games.""}, {'username': 'user 2', 'message': ""What?! That's ridiculous and offensive""}, {'username': 'user 1', 'message': ""Well, it's true. They're too emotional.""}, {'username': 'user 3', 'message': ""You're a Neanderthal, User 1 Get with the times""}, {'username': 'user 1', 'message': ""You're just mad cause you're a 'woke' puppet.""}, {'username': 'user 2', 'message': ""You're the one who's mad and harassing people""}, {'username': 'user 1', 'message': ""i'm just stating facts. you're too sensitive.""}, {'username': 'user 3', 'message': ""Your 'facts' are baseless and offensive Stop being a troll""}, {'username': 'user 1', 'message': ""You're just a keyboard warrior. Can't handle the truth.""}]",flamewar
"[{'username': 'user 1', 'message': ""I can't believe people still think it's okay to body shame others.""}, {'username': 'user 2', 'message': 'Oh, here we go again Not everything is about body shaming'}, {'username': 'user 3', 'message': ""user 2, you're part of the problem Your ignorance is disturbing""}, {'username': 'user 1', 'message': ""Thank you, User 3. It's not about being sensitive, it's about basic human respect.""}, {'username': 'user 2', 'message': ""respect? ha! you're just mad because you can't handle the truth maybe hit the gym instead of whining""}, {'username': 'user 1', 'message': ""user 2, you're a sad excuse for a human being Your harassment is unwarranted and unacceptable""}, {'username': 'user 4', 'message': 'lol'}, {'username': 'user 5', 'message': ""what's the wifi password?""}, {'username': 'user 6', 'message': 'can anyone help me with this level?'}]",flamewar
"[{'username': 'User 3', 'message': 'same here, lol. this meme tho'}, {'username': 'User 4', 'message': ""lmao, that's a good one""}, {'username': 'User 5', 'message': ""omg, User 3, you're such a meme lord""}, {'username': 'User 6', 'message': 'for real, they need to crown you already'}, {'username': 'User 7', 'message': ""bruh, y'all actin' like they the king of memes""}, {'username': 'User 1', 'message': ""lol, let's not start a war here""}, {'username': 'User 3', 'message': ""nah, it's all good. ain't no meme king, we all just havin' fun""}, {'username': 'User 8', 'message': 'hey, anyone know the wifi password?'}, {'username': 'User 9', 'message': ""lol, nope. try 'password123' ud83dude1c""}, {'username': 'User 10', 'message': 'omg, thanks User 9! it worked!'}]",healthy
"[{'username': 'User3', 'message': 'omg, I just found a glitch in the Matrix, brb guys'}, {'username': 'User4', 'message': ""Nah, chickens can't even use guns, this is dumb""}, {'username': 'User5', 'message': ""Hey, can someone help me with this 'Error 404: Reality not found' issue?""}]",healthy
"[{'username': 'User 3', 'message': ""Dude, it's not 'woke', it's basic human decency.""}, {'username': 'User 4', 'message': 'lol, triggered much?'}, {'username': 'User 5', 'message': 'Ignorance is bliss, I guess.'}, {'username': 'User 6', 'message': ""Can't believe some people still don't get it in 2022.""}, {'username': 'User 7', 'message': 'brb, gotta grab some popcorn for this debate'}, {'username': 'User 8', 'message': ""It's not a debate, it's common sense.""}, {'username': 'User 9', 'message': ""Anyway, who's up for a round of Among Us?""}]",healthy
"[{'username': 'user 1', 'message': 'omg this lag is so bad rn'}, {'username': 'user 2', 'message': ""for real, i can't even move my cursor lol WTFFF""}, {'username': 'user 3', 'message': ""maybe if you guys didn't have such potato computers""}, {'username': 'user 4', 'message': 'lmao @User 1 and @User 2, get some better PCs'}, {'username': 'user 1', 'message': ""shut up @User 3, you're just mad cuz you're trash at this game""}, {'username': 'user 5', 'message': 'anyone have the password for the private server??'}, {'username': 'user 3', 'message': '@User 1 ur full name is Stephen Roley Parker and u work at the local hospital. i know who u are asswhack so be fucking careful'}, {'username': 'user 1', 'message': 'what the fuck @User 3, how do you know that????'}, {'username': 'user 2', 'message': ""yo @User 3, that's not cool man""}, {'username': 'user 4', 'message': ""lmao @User 1, you're so mad rn""}, {'username': 'user 3', 'message': ""maybe you should've thought about that before you talked shit, @User 1""}, {'username': 'user 5', 'message': 'omg this drama is so good'}, {'username': 'user 1', 'message': ""fuck you @User 3, you're dead to me""}]",flamewar
"[{'username': 'User 3', 'message': 'lol, total noob move'}, {'username': 'User 4', 'message': 'ffs, can we get a redo?'}, {'username': 'User 5', 'message': 'bruh, u got owned'}, {'username': 'User 6', 'message': 'that was epic'}, {'username': 'User 7', 'message': 'brb, gotta hit the loo'}, {'username': 'User 8', 'message': 'wtf, did u see that?'}]",healthy
"[{'username': 'User 3', 'message': ""lol, sure, 'skills'""}, {'username': 'User 4', 'message': ""Hey, cut the crap. Let's play fair.""}, {'username': 'User 5', 'message': ""Yeah, this ain't fun anymore""}, {'username': 'User 6', 'message': ""omg, can't we just chill and play?!""}, {'username': 'User 7', 'message': ""Not if it's rigged, it's not""}, {'username': 'User 8', 'message': 'BRB, gotta feed my cat'}, {'username': 'User 9', 'message': 'User 2, stop messing around. We wanna play a legit game.'}]",healthy
"[{'username': 'User3', 'message': ""[Character Name 2] is way better, y'all are blind""}, {'username': 'User4', 'message': '[Character Name 1] is just a boring cliche, fight me'}, {'username': 'User5', 'message': 'naw, [Character Name 3] is the real MVP, they did the most with the least'}, {'username': 'User6', 'message': ""omg can we pls stop with this debate, it's been done to death""}, {'username': 'User7', 'message': ""lmao @User6, this is a fandom chat, what'd you expect??""}, {'username': 'User8', 'message': 'brb, gotta go rewatch [Series Name] and remind myself why I love it'}, {'username': 'User9', 'message': ""lmao @User10, it's been locked for a reason""}, {'username': 'User10', 'message': 'yeah, it was meh, but the [Character/Element] was pretty cool'}]",healthy
"[{'username': 'user 1', 'message': 'THIS DUDE IS F**KING CHEATING!'}, {'username': 'user 2', 'message': ""stfu, noob! you're just bad!""}, {'username': 'user 3', 'message': 'LMAO, User 1 is right This s**t is rigged'}, {'username': 'user 4', 'message': 'user 2, stop being a d**k and learn to play'}, {'username': 'user 5', 'message': ""WTF is wrong with you people? Can't we just have fun?""}, {'username': 'user 6', 'message': '@User 5, shut up and mind your own business'}, {'username': 'user 7', 'message': 'user 2 is a f**king cheater and a loser'}, {'username': 'user 8', 'message': ""OMG, this chat is toxic AF. I'm outta here""}, {'username': 'user 1', 'message': ""F**k you, cheater! I'm reporting your a**""}, {'username': 'user 2', 'message': ""Go ahead, crybaby I've got more accounts than you can count""}]",flamewar
